NVS_Training_Object_ID,NVS_Training_Action,NVS_Course_Training_Provider,NVS_Course_Training_Title_x,NVS_Course_Description_x,Description sufficient,Reason if insufficient
f194cdb0-a7b7-427e-9f01-0036d3c64c99,Keep,Novartis,CLSD Laboratory Training List,CLSD Training list,,
70c34fce-05be-4ad8-8f36-0027e236db1a,Keep,NBS,SubWay Regulatory Core Labeling Author Course,"Describes how to perform tasks and responsibilities as a SubWay Core Labeling Author in the SubWay Regulatory application. “Important note: This course is designed to run on PC-compatible devices, not iPad or Mac. You will need to click the ""Play"" button to start or resume this training.""",yes,
d307a09a-7297-4b3c-93d5-004765472a54,Keep,Corporate Functions,1. Coaching with Presence- 5 Management Disciplines Academy,"Welcome to the 5Ds E-Learning Academy. The Academy consists of 5 modules that roughly take 20-30 minutes to complete each.   Each module will contain concepts relating to sales management & exercises to reinforce these learnings. Please note that these are not simple click-through exercises, they require reflection & careful consideration to complete successfully.     These modules will be followed by an End of Module Quiz at the end to help you further grasp concepts covered in the module.",no,missing relevance
6f07d7bd-d56c-400b-90ae-0050ef43cf18,Keep,SANDOZ,SEM in Action - Confirm and Follow-Up 7/9,"This course introduces the Scientific Engagement Model (SEM), a framework that enables medical associates to plan for, deliver and follow up on outstanding scientific interactions with HCPs, internal and external stakeholders and business partners. The SEM is a standardized 7-step process that has been specifically designed for the needs of the medical associates, focusing on capability building and enhancing performance at all levels, regardless of experience, thus promoting consistency and excellence in scientific interactions. The SEM enables the medical associates to become aligned around a common and compliant approach to scientific engagement by creating a universal and consistent language for describing excellence and best practice.",,
caeb537d-a0fa-48f6-afa3-0051d66a768d,Keep,PHARMA,Patient Service Programs Customer Experience Platform User Attestation,"This documentation affirms your completion of training and review of the Patient Service Programs Customer Experience Platform and certifies your understanding of the Platform Use Guidelines & Expectations, as well as the dos and don'ts of free text entry.",,
a33de4c7-15dc-4772-9ae9-0055faa1c7fc,Keep,PHARMA,Situational Analysis: Patient Journey,After completion of this course you will be able to develop a patient journey that identifies the critical decision points and opportunities for your brand and be able to summarize the key insights into a senior leadership view,no,missing context
203b1d8f-b250-43fe-acb3-005770d0918a,Keep,NBS,Adapting to Parenthood - Self-care,"To be able to successfully juggle parenthood and professional life, it's essential that you take care of yourself - emotionally, physically, and mentally. This lesson focuses on your self-care.",no,missing relevance and context
a038a514-b3ca-4f51-bda7-008c0c8468cb,Keep,Global Drug Development,GCS EOM Qualification Evaluation Quiz,This knowledge quiz is the qualification evaluation for the Role as EOM. New joiners should complete and pass this quiz as part of their on-boarding. For EOMs who have previously completed their on-boarding this quiz is used as a refresher and should be completed within 30 days after assignment. You are given 3 attempts to pass the quiz and the passing score is 80%.,,
0746b87a-9d99-4e56-8434-5effa37b6a45,Keep,NBS,Creating Launch Confidence - April Webcast 2,Creating Launch Confidence,,
0c3fe418-e07a-4211-a39f-5f09222887c0,Keep,NBS,Managing your emotions guide,This guide provides a number of scenarios on how to manage your emotions.,,
2ba0544c-8c61-4a38-802f-e9168bc98a33,Keep,NBS,ServiceNow APM Application Management Handover,https://web.microsoftstream.com/video/eaf001bc-3317-4ee3-9cd7-299fabb8c88f,,
cb5874d2-9379-484b-bbe7-034f0495d1a0,Keep,SANDOZ,Leader's Calls,"Leader's
  Calls (quarterly)",no,missing relevance and context
6078174c-1399-4aa7-a3f1-0393c0f0bbe9,Keep,Global Drug Development,CHAD Techademy 2023,CHAD Techademy 2023,,
1d8f8208-9cff-45e4-bd05-03a49ea3c146,Keep,Corporate Functions,Mindfulness – The art of being present,"Self-awareness builds the foundation of an inspired, curious and unbossed culture. Through mindfulness practice we can train to be here now, to be aware of our sensations, emotions, thoughts, and feelings and the impact they have on others. This course is a fundamental introduction to mindfulness. We will together explore the benefits  mindfulness can bring to our lives at home and at work, and how we can through regular practice train our focus, attention, and self-awareness.",,
517ac5d7-9462-4570-9401-006ab77bbe0c,Keep,Corporate Functions,How to report a HSE event - Advanced user (French - 5 mins),Training on how all advanced HSE users can report/update HSE event using the incident reporing module on HSE Net.,no,missing relevance and context
bab45c9a-7974-40da-8937-00a10d144344,Keep,NBS,"Live Agent - the ""live"" kind of support","During this interactive eLearning about the Live Agent/Chatbot tool, you will learn how to get started as a Live Agent, how to support our customers via chat and work with the tool in the most efficient way.",yes,
bce38857-7a79-4ab3-98cc-00b55b02ee2c,Keep,SANDOZ,UK Sandoz Rixathon Module 3.1 Rixathon Clinical Experience,UK Sandoz Rixathon Module 3.1 Rixathon Clinical Experience,,
898c0e57-a9f6-4710-ba04-00baec5b4bcc,Keep,SANDOZ,SSM PD – GQA – SOP-8092480_assessment,Assessment related to the SOP-8092480 Registration File Compilation and Compliance in SSM Product Development,,
912eb365-f0b9-498c-a9c8-00cf05dc5959,Keep,CTS,Introduction to Object Properties using Protege Comparison it with OOP and RDBMS Exercise,"The main intent of the training is to give Introduction to Semantic Web:
a.   What is a Graph and Why it is beneficial for modeling Knowledge?
b.   What is a Semantic Data Model and Knowledge Graph?
c.   How is Data modelled in a Semantic Graph?
d.   Sample Business Use Cases for Knowledge Graphs
e.   Applications of Knowledge Graphs in Novartis and External World",no,missing relevance
ea204b92-bfe4-4691-8c39-00d5b68e2d05,Keep,NBS,How to stay on track,"Having spent time working through the lessons and completing the exercises, you want to check that you stay true to your vision and you have the best balance to be energised and fulfilled as individuals and as parents",no,missing relevance and context
80352e2c-acb5-4e0e-93bc-0434fd3f1860,Keep,NIBR,FATZ: Drug targeting and delivery,"From Atoms to Zebrafish (FATZ) is a series of classes where NIBR scientists teach the foundations of chemistry and biology from a drug discovery perspective. Learn about NIBR research into a broad range of topics such as genomic engineering, developmental biology, and data science. Or brush up on basic organic chemistry and learn about current NIBR GDC efforts such as drug delivery and structure based drug design. All classes will be taught by Novartis scientists and will be individually available for registration on Up4Growth link. See the SharePoint site (go/fatz) for details on individual courses and pre-reading material. Not all medicines are taken as a pill. How do we target drugs to specific organs such as lungs and brain? Learn from NIBR chemists who are developing methods for targeted delivery.",yes,
d7dfbd72-1633-4bd7-bd90-0110151dd6d4,Keep,ONCOLOGY,OMIC Post ESMO 2022 Lung Targeted Therapies (TT) - Video,"Presented October 17, 2022 | Objective: To review the key data presented at ESMO in Lung Cancer – TT | Intended Audience: All Medical and HQ Commercial working on Lung",,
af360434-b2ac-452f-902b-0475f3948ded,Keep,Global Drug Development,FT630 - Filtertrockner,"Der Kurs beeinhaltet folgende Inhalte, Aufbau des Filtertrockners, Bedienung der Filtertrockners in theorie und in der Praxis, die funtionsweise der Filtermontage",,
63022a6b-cf76-4622-83fe-053b2f37e459,Keep,NBS,Modern Finance for FRA Mx: Alteryx digital tool,Introduction to the basic fundamental of Alteryx tool,,
86d5c381-20bd-435c-8c31-01191a2f23f7,Keep,Novartis,Data Extraction from LSH to a​ Statistical Computing Environment​ – Curriculum,Data Extraction from LSH to a Statistical Computing Environment – Curriculum,,
3dd7214e-b1a4-475c-a343-012dfa0732a4,Keep,CTS,PAD Developer Mandatory Trainings,"PAD
Developer Handbook, Power Automate Flow Backup & Recovery - Best Practices,
Developer Manual for Framework Components Integration (For PAD), Power Automate
Coding Standards & Best Practices.",,
a7c21185-84b7-427d-8c29-e928fb49e0f5,Keep,Corporate Functions,CO-PA Training,CO-PA Training,,
0efa27fe-ee41-4f1e-a03d-01b821a40401,Keep,Novartis Technical Operations,SubWay Clinical Document Administrator Curriculum,SubWay Clinical Document Administrator Curriculum,,
4aa38b78-8589-469d-98f7-846ce688d945,Keep,Global Drug Development,Novartis eFeasibility Process Workflow Guide,Guidance to Novartis Feasibility Leads on the workflow to perform electronic feasibility as it relates to eFeasibility,,
54073e49-1706-4d23-a735-055d25160aef,Keep,Novartis Learning Institute,"Exclusivities, Safety, and Publications","We explain how regulatory exclusivity forms part of our overall strategies and take you through some examples of its optimization and enforcement. You will gain an understanding of the key role of our brand names in ensuring patient safety and protecting Novartis’ reputation, including how we test names and get approval from multiple regulators to obtain a global brand name. We will also explain our role in reviewing Novartis’ scientific publications, as well as the surprising IP issues you may face when trying to use material from such Novartis articles after they have been published.",,
8e882514-21e8-47cb-9832-056e654b881f,Keep,PHARMA,P3 Tool Simplification Training,P3 Tool Simplification Training,,
c04880b3-5e74-491f-a0ba-05a2e3d11316,Keep,NIBR,NIBR-Virtual Science Salon,"The NIBR ""Virtual"" Science Salon is a weekly on-line science gathering open to all NIBR associates world-wide. Each week, associates share breakthrough science stories from their labs via an interactive web-cast. The goal of the science salon is to inform and inspire each other through scientific deep dives from our disease areas and platform groups.",,
5809772b-1e3d-45f5-b458-05d5a4a87d40,Keep,Novartis Learning Institute,When your family home and your office are the same...,"EfL Wellbeing program highlights the differences and similarities in all of our working environments (go/eflwellbeingprogram). In this session, youâ€™ll learn to create your personal system to show up at your best for the moments that matter most to you. Weâ€™ll share some key tools and strategies to help successfully manage your family while uncertainty and workload levels are high. This is the perfect moment to stop the speed train and focus on you. Join us.Â",,
0a8749b3-c92a-4f45-8965-014348fed359,Keep,NBS,Supply Chain Management (Commercial),"This module will help you understand the important role supply chain and management plays in the commercialization stage. You will also gain a high level understanding of end to end process of movement of materials, information and finances.",yes,
7ab19812-ca6d-40f4-ab05-069ad8971748,Keep,NIBR,Getting Started with Technology [NIBRNX],"Pick up your NIBR laptop (or come along for a refresh) and learn about the important basics of email, passwords, and file management at NIBR, as well as resources for technical support and training. This class is mandatory. 

Course content:

• NX Support Services – “where, when, how can I get help?”
• Technology 1st Steps
- Email & Policies
- Skype for Business
- Printing using Pull Print (includes in-class installation)
- Phones (how to set up voicemail and get email on your personal mobile device) 
- File Directories / Locations(how to request access to folders)
- Network Connections
• Cyber Security @ NIBR - Must knows about protecting your information
• Resources & Intranet Sites 
• NIBR Homepage
• NIBR Informatics(NX)Homepage
• NIBR AppStore – Review list of “Suggested Apps for You”
• NIBR Tube
• NIBR Talk – New Hire Community
• NIBR Meetings Portal
• Up4Growth trainings for continuous learning",,
faa7ae8c-d3a0-4824-8048-06ac4a75801e,Keep,NBS,Course introduction,"Through
  this virtual class we will explain the design, learning outcomes and key
  elements of this learning program on 'Drug Discovery, Development and
  Commercialization' of Drugs",,
a91bdfab-3582-4ed5-8048-0327386b21fe,Keep,Novartis,CPO CZPR: Onboarding Package_Medical_Medical Lead,Medical_Medical Lead role,,
82866bae-5d4b-479f-941f-23108c19cb3f,Keep,Global Drug Development,Updated Novartis PTA Guidelines for Trial Monitoring,"This session will focus on: • Why the guidelines have been revised • Guiding principles in the PTA Guidelines • Mechanisms for PTA provision • Operational impact of PTA on TMO • PTAB (Post Trial Access Consultation Board) • Implementation tools & training • Your comments and feedback, and any input on potential pain points",no,missing relevance
733dfc90-845e-4906-87c1-034e95807f52,Keep,Novartis,ES_TMO_EU CTR_ALL,EU CTR ALL,,
4b71a778-1c29-48e2-b231-2312d9cb3ffe,Keep,SANDOZ,SDZTW P3 Tool Upgrade Training,To provide P3 Tool updated information to the requestor,,
87957fd0-e66f-4c7e-94b1-06da3cae41da,Keep,Novartis Learning Institute,What might you regret writing and why?,"Discovery is part of the litigation process in certain countries, and you may have to hand over communications and/or documents to your opponent that are relevant to the dispute â€“ whether they are supportive or harmful to your case. However, ""privileged"" documents do not need to be disclosed. We explain what privilege is, what types of information are legally privileged (and which are not) and provide practical tips on the creation of documents and handling existing privileged information at Novartis.",,
3ee2ceef-bcb7-4fd9-b2b7-0189f0bc83ca,Keep,Novartis Learning Institute,人事マネジメントのツールとシステム,ノバルティスの新米マネージャーたちに、アソシエイトのマネジメントに必要となるさまざまな人事マネジメントのツールやシステムを紹介します。,no,other
4a6c60a2-c630-49f6-bdce-01a508467643,Keep,PHARMA,ukr-rotf-academy-1-macro,The module contains a description of the competencies of highly effective Novartis medical representatives and exercises to consolidate the acquired knowledge.,no,missing context
3d7143b6-9506-487c-9178-079925c8f92f,Keep,PHARMA,2023 Gilenya PI Exam (GYA-1386009),25 Questions to be answered before submitting for final results. The exam settings are 45 minute timed exam - 3 attempts to pass the exams - 88% to pass the exam - After the final results are submitted you can review all questions & answers.,yes,
779d2b3e-9dc8-4022-a9f5-01f804b91ee1,Keep,Global Drug Development,Novartis Connect: LMS Training Content Administrator,"This video will demonstrate the capabilities of the Training Content Administrator within Novartis Connect. It reviews creating and editing training groups, creating and editing training content, creating and editing quiz content, bulk training assignments, managing training notifications and managing alternate training methods.",,
68ed0d5e-6a7f-425d-b7ac-01fecaaef6e4,Keep,Novartis,NOSSCE ESO SZ FDF Demand Planning,NOSSCE ESO SZ FDF Demand Planning,,
d4e4e2a3-4428-4d52-8de8-0814786c54e9,Keep,Novartis Technical Operations,LabWare_Course 9: Sample and Test modifications,LabWare Basic functionalities,,
6ef5aa4f-3aab-42d4-9987-08194ed7c1e2,Keep,NIBR,NIBR Genomics Community Forum,"We look forward to welcoming you to the first NIBR Genomics Community Forum featuring NIBR-wide collaborations powered by genomics, sequencing and bioinformatics. The event comprises 9 virtual sessions throughout November and December 2020, each lasting 90 minutes and starting at 16:30h CET/ 10:30am EDT/ 07:30am PT. You will hear about the latest developments and internal success stories highlighting how NIBR scientists apply genomics, sequencing and bioinformatics to disease characterization, target discovery, drug mechanism of action and pharmacodynamics markers identification, and translational medicine.",no,missing relevance
cbb5e3d2-c87e-4396-a213-083af1c17886,Keep,Global Drug Development,GDO Project Management Forum,Forum on a variety of Project management topics,,
3f37af53-7e0b-45b5-83fd-084ef9a760c2,Keep,Novartis Learning Institute,Boost your mental and physical wellbeing through sleep,"A lot is written about sleep and why it is important but what does really happen when we sleep and what factors contribute to getting good quality sleep? In this session, you will learn about simple, yet effective strategies to improve your sleep quality and learn about why sleep is such an important function to recharge our mind and body.",,
5f8077bc-2da0-4655-96b4-046da520635b,Keep,NIBR,Test Management Expert-AMS CoE Factory Services,Please write to erpitoffice.trainingmgt@novartis.com if you have any queries.,,
dfab4d7b-4190-4d88-ae0f-09741e43ffd7,Keep,NBS,Agile PLM - Phase Gate Approver (Wave 2 PCC) Assessment,Phase Gate Approver Assessment,,
e2357025-1328-41c2-8ea0-08e0c10ba469,Keep,NBS,LSHYD_BBO_ Skills and Competencies,"Analyze L&T and P&O skills and competencies,Narrow down to 3 skills and competencies that we would like to equip ourselves with and empower the team.",,
9bc728e8-acd7-4629-a3b9-02a4e2b0ba33,Keep,PHARMA,Module 4: Market and Competitor Analysis (Pharma),​This module will cover Market and Competitor Analysis,no,missing relevance and context
8a3aba72-6ec1-4a3a-bf12-02cd4e2b9f0b,Keep,SANDOZ,SSM RA SARA DMS Advanced Search,"In this course, you will learn all about how to run, edit, and save an advanced search in SARA DMS. If you know some keywords and the document type, learn how to navigate quickly and easily to the document you are looking for.",yes,
290f51b1-3dae-48a6-bb78-096e1855c794,Keep,Novartis Learning Institute,Ethics and Psychological Safety,"“Psychological safety is taking your foot off the brake, instead of always looking around and trying to read the room, you just say what you think! Think how much energy day in and day out is wasted: the mental and emotional energy to read the room, rather than pursue the mission is immense.” – Amy Edmonson on Psychological Safety In this webinar we will discuss how psychological safety can unlock ethical and sustainable performance. You’ll deep dive in fascinating social science insights and hear first-hand from managers who have used the Ethics Conversations Toolkit to create the psychological safety in their team to enable powerful, liberating discussions.",,
c923009e-0aaf-4792-b46f-09892ca71342,Keep,Corporate Functions,Mindful Keynote: Growing through Self-Awareness with Michael Bunting,"In this talk we will give you both the tools and practices for developing a much better understanding of what it means to be practically self-aware, and the specific self-awareness practices you can adopt to reach the highest levels of human potential (self transforming). The talk will also directly link to the already available programs and practices of the Awakened Mind app (available to all Novartis associates) so that you have absolute clarity on your own personal journey towards improved growth, mental wellbeing and self-awareness after the talk.   Our guest speaker, Michael Bunting, is the author of the #1 bestselling books """"The Mindful Leader"""" and """"A Practical Guide to Mindful Meditation"""" and co-authored """"Extraordinary Leadership in Australia & New Zealand"""" with Jim Kouzes and Barry Posner, the world's premier researchers and authors in the field of leadership.   He is the founder of Awakened Mind, a developmentally oriented mindfulness IOS/Android App available to all Novartis associates. Mi",yes,
79bd3444-862c-42e7-9d57-098f708753eb,Keep,SANDOZ,INTERACTION & VISIT MANAGEMENT (FACE TO FACE),"All Trainings are being conducting for Digital transformation on CRM system, that is SCOUT-Sandoz Customer & Ordering Utility Tools, which is a Sandoz global CRM platform. This training is applicable for all the Users of SCOUT in Sandoz Bangladesh.",no,missing relevance and context
cbb09b3d-a456-4350-a3ae-030ddc246bc2,Keep,Global Drug Development,NBS IT - ServiceNow_IT Level100 Knowledge Management,This is training on the Nimbus process flow for Knowledge Management. Associates will be required to read the process flow and then successfully answer a number of questions.,,
bdce48a8-84bb-41a2-8641-030ebff79440,Keep,NBS,Video: Performance Year-end Review for Associates,This video shows associates how to complete their Performance Year-end Review.,no,missing relevance and context
a606834d-fe12-48c4-bcaa-032991201b9a,Keep,Corporate Functions,ROTF Academy: Support your reps to orchestrate omni-channel engagement,"""This module has been designed to help you support your reps to orchestrate an omni-channel engagement that will shift HCP behaviours and positively impact the customer experience. 



It leverages the Management Disciplines to help you get buy in from your sales reps on the why, the how and the what of orchestrating an omni-channel engagement. """,,
f3c2cf6f-937e-4eae-8d13-0c4fe50e2ba8,Keep,ONCOLOGY,2023 KYMRIAH Core Clinical Exam ALL (222288),40 Questions to be answered before submitting for final results. The exam settings are I hour 30 minute timed exam - 3 attempts to pass the exams - 90% to pass the exam - After the final results are submitted you can review all questions & answers.,no,missing relevance
141689f2-8db3-4ebc-9c49-0388f39480de,Keep,Global Drug Development,"CHAD Academy ""CHAD and Intellectual Property""","Learning objectives/Topics: •	General Introduction (Huangchao Yu, Lachlan Campbell) •	Who to Contact (Christian Lindenberg) •	Collaboration with Academia (Fabrice Gallou) •	Publications / Presentations, Patent Plaque rewards and OAK (Christoph Bucher) •	Internal Guidance: Novartis procedures and policies (Navid Dastbaravardeh, Bukeyan Miao)",,
7eb8b6dc-1227-4658-b7eb-0a02d102d89f,Keep,Global Drug Development,Upstream Process Development Lunch & Look,An introduction to Upstream Process (USP) Development will be provided followed by a tour through our USP development labs and non-GMP DS manufacturing facilities.,,
8416a437-8561-40f2-a4ff-0a0cae4de413,Keep,SANDOZ,Sandoz Global Portfolio Days,"We are all so caught up in our own daily work that even if we wanted to,  most of us don't have the time to get to know other departments/functions within the Company.   But to better collaborate this would make a huge difference because we are all ONE BIG TEAM.  Have you ever wondered what the Global Portfolio Team in Sandoz is doing?  If yes then the Sessions will give you a first peek into the complexities of the Global Portfolio Function.  Join our Global Portfolio Days on September 28th and 29th 2021.  We are looking forward to show you the world of Global Portfolio because ""first in"" starts with us.",no,missing relevance and context
a8281f00-f045-4320-987b-0a3f687b8998,Keep,CTS,Supplier Experience : Business Requestor Virtual Training Session (Vietnam),"""Supplier Experience project is an 'early mover' of the Lean Digital Core (LDC) program.  It will implement a best-in-class supplier on-boarding solution, with efficient processes powered by Ariba Supplier Lifecycle Performance (SLP), replacing the current SIM technology.  What will be delivered?  - A best-in-class supplier on-boarding solution, with efficient processes powered by Ariba Supplier Lifecycle Performance (SLP), replacing the current SIM technology - High quality supplier master data, including preferred supplier status and supplier rationalization - Supplier self-service portal, a bespoke solution developed with suppliers, including state-of-the-art self-registration and onboarding",,
19144caf-28f2-4629-9513-0a6a56087468,Keep,Novartis Learning Institute,ENABLE: OneNovartis Disability Training,We're making a global commitment to ensure equity and inclusion for peoplewith disabilities at Novartis.  We want to enable associates with disabilities to thrive and ensure a work environment in which they are valued for their abilities and contribution to our shared purpose of reimagining medicine. This is a demo of our new eLearning to help associates better understand disability and to postively engage with and support persons with disabilities.,,
37fc0fec-df22-43f2-b187-0a6f0e73d0ab,Keep,Novartis Learning Institute,How to keep calm in a world of stress - mental health in times of change with Thijs Launspach,"A full diary and no time to think; the feeling that you are always playing catch-up and never quite hitting the mark: our lives today are almost invariably crazy busy. In terms of stress, COVID didn’t particularly help either. While you can stand quite a bit of stress - it’s actually good for you up to a point - too much stress both in the workplace and can take a toll on you.

What can you do to cope with the stress in your life and prevent burnout? Which techniques and strategies can you employ to deal with the pressure in your life? Dutch psychologist Thijs Launspach explains in a very practical manner how to improve your mental health, how to cope with stress, and how to create more peace and calm in your life.",,
64bf396c-3236-40de-a561-05d732b0bb60,Keep,Global Drug Development,GDD Clinical Trials Supply CARBON Resumption Workstream User,The training provides an overview to the resumption user of the work stream on the overall strategy during a CARBON scenario.,,
ada9beda-40b4-45ec-81d9-0a9b265ad420,Keep,NIBR,"GraphPad Prism: Introduction to Managing, Analyzing and Charting Data","Course objective: This course will provide an introduction to the GraphPad Prism software and an overview of its charting and curve fitting capabilities. The course includes a range of self-paced exercises to practice key concepts. 
Course content: 
Getting Started: Navigating the Prism Interface; Introduction to Prism project types
Data Entry: Importing & formatting data
Descriptive Statistics: Generating Mean, Standard Deviation and Confidence Intervals
XY Analyses: Creating and formatting Line, Bar and Scatter Plots
Group Comparisons: Comparing 2 groups graphically and using simple statistics
Contingency Analysis: Comparing observation counts for significant differences
Curve Fitting: Introduction to Linear and Non-linear regression; Standard curves (and derivation of unknown values); Area Under the Curve calculations
Presentations: Creating layouts; Exporting charts and summary data",,
dfd2d6e1-4d98-41ba-a3d1-0638fee51b30,Keep,NBS,NBS IT - TIS Backup and Restore DBA Supporter,Curriculum for database administrators providing backup and restore support,no,missing relevance and context
e391c015-31bf-42df-a645-0aed47d3f571,Keep,NIBR,Toolbox for first nucleating and growing crystals,"The Analytics Group in GDC is pleased to offer ""Toolbox for first nucleating and growing crystals"" a course designed to help you crystallize your compounds successfully. We will explore several aspects of crystal formation, including crystallization techniques, and kinetic processes of nucleation and crystal growth that give rise to crystalline material.",,
d1c7848c-55ac-4a3c-b2d4-0b081731b5c6,Keep,Corporate Functions,Glint Clinic: Intermediate Level,"The Glint Intermediate level clinic is a 45 mins virtual session, that will provide a detailed overview and information on advanced features of the survey that can help P&O partners make meaningful insights & decisions from the survey outcomes. Recommended for P&O partners who are already adept with the basic features & navigation of the survey.",,
b206455f-3a0c-4a0e-8de4-0b7a3ae4811f,Keep,Novartis Technical Operations,"NSSPM NEW HIRE ORIENTATION - BASIC GMP, GDP, QMS & E-SIGNATURE",CLASSROOM TRAINING BY QA OR DEPT. COMPLIANCE REPRESENTATIVE,,
0dde55a8-84b2-4aee-9db4-0be6e5286640,Keep,NBS,M7 Pricing Strategy,M7 Pricing Strategy,,
fe4640ab-d9a6-4675-b32c-0c75c9ede703,Keep,SANDOZ,Global TH - In Conversation,"Q3 2021 results, growth strategy plan update, strategy review update and Q&A session.",,
0019a754-ba18-4cf8-b1cf-0ca9481ad997,Keep,Global Drug Development,How the eCRS Content Supports Submission Activities,The aim of this Virtual Session via Adobe Connect is to familiarize you with: â€¢	What information is captured in the eCRS (electronic Case Retrieval Strategy) â€¢	How the eCRS content is used to support SCS (Summary of Clinical Safety) planning and outputsÂ  â€¢	How the eCRS content is used to support RMP (Risk Management Plan) planning and outputsÂ  â€¢	How the eCRS content is used to support planning and implementation of the ADR (Adverse Drug Reaction) frequency table within the CDS (Core Data Sheet)Â,,
